Original,ROT13,Caesar+1,Caesar+3,Caesar-2,Morse,LeetSpeak,Vignere,Playfair (APOLLO),Keyword (IRONJAZ),Atbash,Bacon,DaVinci (Word),DaVinci (Sentence)
I AM AFRAID I CANNOT DO THAT ,V NZ NSENVQ V PNAABG QB GUNG,J BN BGSBJE J DBOOPU EP UIBU,L DP DIUDLG L FDQQRW GR WKDW,G YK YDPYGB G AYLLMR BM RFYR,-......-../...../-.---/-.-.-.--,! 4/\/\ 4|=24!|) ! (4|\||\|07 |)0 7#47, V BK BSTBGB V DYLOBV BM GJBR, hphldtphirhckzkbrflsqcuy,C/IG/IAPICN/C/OIHHKS/NK/SBIS,R/ZN/ZUIZRW/R/XZMMLG/WL/GSZG,ABAAA/AAAAAABBAA/AAAAAAABABBAAABAAAAAABAAAAAABB/ABAAA/AAABAAAAAAABBABABBABABBBABAABB/AAABBABBBA/BAABBAABBBAAAAABAABB,I MA DIARFA I TONNAC OD TAHT,TAHT OD TONNAC I DIARFA MA I
GET AWAY FROM HER ,TRG NJNL SEBZ URE,HFU BXBZ GSPN IFS,JHW DZDB IURP KHU,ECR YUYW DPMK FCP,-.-----..-/-...-../.-/-....--.--...-./-..---.--,637 4\/\/4'/ |=20/\/\ #32, TGU YXNA DPPZ ICP, cfqlvplmspnids,ZJS/IVIX/APKG/BJP,TVG/ZDZB/UILN/SVI,AABBAAABAABAABB/AAAAABABBAAAAAABBAAA/AABABBAAABABBBAABBAA/AABBBAABAABAAAB,TEG YAWA MORF REH,REH MORF YAWA TEG
SPEAK FRIEND AND ENTER ,FCRNX SEVRAQ NAQ RAGRE,TQFBL GSJFOE BOE FOUFS,VSHDN IULHQG DQG HQWHU,QNCYI DPGCLB YLB CLRCP,.-/-.-..-../.--....---/-.-..--./...----.--./.-/-....-...,5|*34|< |=2!3|\||) 4|\||) 3|\|732, FRFYI STJCLE COB FAVFP, rocomewrgkcpiggksfuw,QLJIE/APCJHN/IHN/JHSJP,HKVZP/UIRVMW/ZMW/VMGVI,BAABAABBBBAABAAAAAAAABABA/AABABBAAABABAAAAABAAABBABAAABB/AAAAAABBABAAABB/AABAAABBABBAABBAABAABAAAB,KAEPS DNEIRF DNA RETNE,RETNE DNA DNEIRF KAEPS
DEATH TO THE MACHINES ,QRNGU GB GUR ZNPUVARF,EFBUI UP UIF NBDIJOFT,GHDWK WR WKH PDFKLQHV,BCYRF RM RFC KYAFGLCQ,-..---..../.--.-.------../.--.--.-/----/--..-/---..--,|)347# 70 7#3 /\/\4(#!|\|35, QGBRF GQ RFF OBAFJAGT, eflqmqlskchlhqkhkx,NJISB/SK/SBJ/GIOBCHJQ,WVZGS/GL/GSV/NZXSRMVH,AAABBAABAAAAAAABAABBAABBB/BAABBABBBA/BAABBAABBBAABAA/ABBAAAAAAAAAABAAABBBABAAAABBABAABAABAABA,HTAED OT EHT SENIHCAM,SENIHCAM EHT OT HTAED
WHERE IS MY SUIT ,JURER VF ZL FHVG,XIFSF JT NZ TVJU,ZKHUH LV PB VXLW,UFCPC GQ KW QSGR,.--......-../-..---/-........./...-.-...-..../--.---,\/\/#323 !5 /\/\'/ 5|_|!7, JJFPC VU KW FWJR, vidsdktkxtrnuy,VBJPJ/CQ/GX/QTCS,DSVIV/RH/NB/HFRG,BABBAAABBBAABAABAAABAABAA/ABAAABAABA/ABBAABBAAA/BAABABABAAABAAABAABB,EREHW SI YM TIUS,TIUS YM SI EREHW
WE HAVE TO GO DEEPER ,JR UNIR GB TB QRRCRE,XF IBWF UP HP EFFQFS,ZH KDYH WR JR GHHSHU,UC FYTC RM EM BCCNCP,,\/\/3 #4\/3 70 60 |)33|*32, JG FYWR UM HB ECCQRT, xdqcxcslebefdods,VJ/BIUJ/SK/ZK/NJJLJP,DV/SZEV/GL/TL/WVVKVI,BABBAAABAA/AABBBAAAAABABABAABAA/BAABBABBBA/AABBAABBBA/AAABBAABAAAABAAABBBBAABAABAAAB,EW EVAH OT OG REPEED,REPEED OG OT EVAH EW
I KNOW KUNG FU ,V XABJ XHAT SH,J LOPX LVOH GV,L NQRZ NXQJ IX,G ILMU ISLE DS,,! |<|\|0\/\/ |<|_||\|6 |=|_|, V LLMX MVLE SW, kmkbxizucgzb,C/EHKV/ETHZ/AT,R/PMLD/PFMT/UF,ABAAA/ABABAABBABABBBABABBA/ABABABABAAABBABAABBA/AABABBABAA,I WONK GNUK UF,UF GNUK WONK I
WELCOME TO EARTH ,JRYPBZR GB RNEGU,XFMDPNF UP FBSUI,ZHOFRPH WR HDUWK,UCJAMKC RM CYPRF,,\/\/31(0/\/\3 70 3427#, JGMAMNR UM FNTUF, xdaflkfsekpqqm,VJFOKGJ/SK/JIPSB,DVOXLNV/GL/VZIGS,BABBAAABAAABABBAAABAABBBAABBAAAABAA/BAABBABBBA/AABAAAAAAABAAABBAABBAABBB,EMOCLEW OT HTRAE,HTRAE OT EMOCLEW
LIFE FINDS A WAY ,YVSR SVAQF N JNL,MJGF GJOET B XBZ,OLIH ILQGV D ZDB,JGDC DGLBQ Y UYW,,1!|=3 |=!|\||)5 4 \/\/4'/, YKGC GVPEQ B YBW, pmgfdmigqovpzv,FCAJ/ACHNQ/I/VIX,ORUV/URMWH/Z/DZB,ABABBABAAAAABABAABAA/AABABABAAAABBABAAABBBAABA/AAAAA/BABBAAAAAABBAAA,EFIL SDNIF A YAW,YAW A SDNIF EFIL
THERE IS NO TRY ,GURER VF AB GEL,UIFSF JT OP USZ,WKHUH LV QR WUB,RFCPC GQ LM RPW,,7#323 !5 |\|0 72'/, GJFPC VU LM GTZ, qmdsdkuklstw,SBJPJ/CQ/HK/SPX,GSVIV/RH/ML/GIB,BAABBAABBBAABAABAAABAABAA/ABAAABAABA/ABBABABBBA/BAABBBAAABBBAAA,EREHT SI ON YRT,YRT ON SI EREHT
YOU NEED A BIGGER BOAT ,LBH ARRQ N OVTTRE OBNG,ZPV OFFE B CJHHFS CPBU,BRX QHHG D ELJJHU ERDW,WMS LCCB Y ZGEECP ZMYR,,'/0|_| |\|33|) 4 8!6632 8047, LQV LFRF Y CVIHCP OQBR, xlzukofepandcfuplpuy,XKT/HJJN/I/RCZZJP/RKIS,BLF/MVVW/Z/YRTTVI/YLZG,BBAAAABBBABABAA/ABBABAABAAAABAAAAABB/AAAAA/AAAABABAAAAABBAAABBAAABAABAAAB/AAAABABBBAAAAAABAABB,UOY DEEN A REGGIB TAOB,TAOB REGGIB A DEEN UOY
A KID WHO CAN STOP A BUS ,N XVQ JUB PNA FGBC N OHF,B LJE XIP DBO TUPQ B CVT,D NLG ZKR FDQ VWRS D EXV,Y IGB UFM AYL QRMN Y ZSQ,,4 |<!|) \/\/#0 (4|\| 570|* 4 8|_|5, N LGB JJP ABA TRMQ C ZST, ohriviaebhtulopaqt,I/ECN/VBK/OIH/QSKL/I/RTQ,Z/PRW/DSL/XZM/HGLK/Z/YFH,AAAAA/ABABAABAAAAAABB/BABBAAABBBABBBA/AAABAAAAAAABBAB/BAABABAABBABBBAABBBB/AAAAA/AAAABBABAABAABA,A DIK OHW NAC POTS A SUB,SUB A POTS NAC OHW DIK A
DOES ANYONE WANT TO GET OUT ,QBRF NALBAR JNAG GB TRG BHG,EPFT BOZPOF XBOU UP HFU PVU,GRHV DQBRQH ZDQW WR JHW RXW,BMCQ YLWMLC UYLR RM ECR MSR,,|)035 4|\|'/0|\|3 \/\/4|\|7 70 637 0|_|7, QQFQ BAAPLC JCOR UB HCR BWU, epkxbhxlkgvpmuslcfslqu,NKJQ/IHXKHJ/VIHS/SK/ZJS/KTS,WLVH/ZMBLMV/DZMG/GL/TVG/LFG,AAABBABBBAAABAABAABA/AAAAAABBABBBAAAABBBAABBABAABAA/BABBAAAAAAABBABBAABB/BAABBABBBA/AABBAAABAABAABB/ABBBABABAABAABB,SEOD ENOYNA TNAW OT TEG TUO,TUO TEG OT TNAW ENOYNA SEOD
WHERE DO THESE STAIRS GO ,JURER QB GURFR FGNVEF TB,XIFSF EP UIFTF TUBJST HP,ZKHUH GR WKHVH VWDLUV JR,UFCPC BM RFCQC QRYGPQ EM,,\/\/#323 |)0 7#353 574!25 60, JJFPC QQ RFFFG QRBVTT EP, vidsfelskcxktuphsteb,VBJPJ/NK/SBJQJ/QSICPQ/ZK,DSVIV/WL/GSVHV/HGZRIH/TL,BABBAAABBBAABAABAAABAABAA/AAABBABBBA/BAABBAABBBAABAABAABAAABAA/BAABABAABBAAAAAABAAABAAABBAABA/AABBAABBBA,EREHW OD ESEHT SRIATS OG,OG SRIATS ESEHT OD EREHW
